"mz"	"present"	"occurrence"	"purity"	"rsd_all"	"blank_flag"	"flags"	"A02_Polar_Daph_WAX1_Phenyl_LCMS_Pos_DIMS.mzML"	"intensity"	"medianPurity"	"meanPurity"	"sdPurity"	"cvPurity"	"sdePurity"	"medianPeakNum"
58.0647876546	1	1	1	NA	1	1	113120.598252	113120.598252	0.650297101971366	0.661675137604648	0.144567540128869	21.8487187915542	0.0135399906899966	3
72.0804488318	1	1	1	NA	1	1	282356.694196	282356.694196	0.480275416705184	0.499848378822793	0.0926487967352662	18.5353800593424	0.0087156656519495	2
72.0807946804	1	1	1	NA	1	1	242795.036574	242795.036574	0.41955367613116	0.422328382104617	0.101202826796198	23.9630654922759	0.00947851316692791	4
75.0913582568	1	1	1	NA	1	1	195736.137751	195736.137751	0.466120134592037	0.476670534059967	0.122540961673002	25.7076854802159	0.011579032500195	3
75.0916836387	1	1	1	NA	1	1	204270.938871	204270.938871	0.483213272928783	0.496497104650442	0.134595991037886	27.1091190214791	0.0126060695501861	4
84.0805289745	1	1	1	NA	1	1	132563.310059	132563.310059	0.53345520994059	0.562786151325207	0.208164022455004	36.9881209700763	0.0196696512616716	5
84.0807820515	1	1	1	NA	1	1	140127.582831	140127.582831	0.550129098951634	0.582337931336116	0.195060472566797	33.4960960072188	0.0184314821796601	5
84.9112399606	1	1	1	NA	1	1	122855.946347	122855.946347	0.333650592042918	0.337710194518914	0.0973721911651931	28.8330624143298	0.00911974126879402	6
84.9597008445	1	1	1	NA	0	0	128861.050071	128861.050071	0.352660707058722	0.344859541361498	0.106105153885631	30.7676433909093	0.00993765816649743	5
86.9926795566	1	1	1	NA	0	0	221315.525773	221315.525773	0.710098169117521	0.676837913526819	0.154073099439907	22.7636626673399	0.0144302678881832	2
89.107296477	1	1	1	NA	1	1	175881.079205	175881.079205	0.757302332157471	0.739989200751446	0.179117006014492	24.2053540555189	0.0167758446446166	3
90.0548851707	1	1	1	NA	1	1	256381.32358	256381.32358	0.915491637979846	0.862066025432093	0.155052439900442	17.9861443701745	0.0145219915261877	3
90.9765716687	1	1	1	NA	0	0	250976.822574	250976.822574	0.925647076305459	0.893251317327528	0.122441790779374	13.7074290744626	0.0114677243988616	3
98.9753118816	1	1	1	NA	0	0	204068.250069	204068.250069	0.827252644991205	0.817193501044684	0.106454070177663	13.0267886420504	0.00997033717135208	2
100.075674626	1	1	1	NA	1	1	114153.352522	114153.352522	0.83592687633671	0.842889540139519	0.138568714417102	16.4397240466604	0.0129781491852174	2
101.00833759	1	1	1	NA	0	0	548839.587993	548839.587993	0.87546372950775	0.876016748649718	0.0342010091505568	3.90415014362154	0.00320321799121871	2
102.97027295	1	1	1	NA	0	0	198104.292219	198104.292219	0.626783617787345	0.628082327947159	0.0854473276151615	13.6044788737234	0.00800287546819329	2
104.106921012	1	1	1	NA	1	1	4330923.89364	4330923.89364	1	0.999122382402849	0.00660128180324065	0.660708029317173	0.000618266687516761	1
105.003296082	1	1	1	NA	0	0	142544.562782	142544.562782	0.406114805750659	0.417672728956591	0.0913224363068101	21.8645915750706	0.00855312981240313	3
105.110335957	1	1	1	NA	1	1	153890.694869	153890.694869	0.397878088026332	0.410181001561755	0.0917678920149889	22.3725359452497	0.00859485056199997	3
110.07127541	1	1	1	NA	1	1	307519.792215	307519.792215	0.941006379235868	0.935146626988776	0.0643768862470125	6.88414890125944	0.00602944782527606	1
112.895720178	1	1	1	NA	1	1	135570.753005	135570.753005	0.829216936536354	0.812636722136641	0.140960256791166	17.3460358055865	0.0132021376507519	2
