"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","LCMS_1","LCMS_2","LCMSMS_1","LCMSMS_2","blank_median_I","sample_median_I","blank_RSD_I","sample_RSD_I","blank_coverage","sample_coverage","blank_RSD_RT","sample_RSD_RT","rsd_all_RT","grpid","blank_valid","sample_valid","all_sample_valid","mzmin_full","mzmax_full","rtmin_full","rtmax_full","mzmin_full.1","mzmax_full.1","rtmin_full.1","rtmax_full.1","xcmsIDx"
"2",148.043365899931,148.042683925669,148.044128387378,64.516356,64.094544,64.817838,4,2,2,20731149.9817046,20077313.5827894,58447146.6341686,54935005.6176214,20404231.782247,56691076.125895,2.26586404425076,4.38068722450923,1,1,0.793478615873438,0.195217211954477,0.474647604940444,2,1,1,1,148.038970947266,148.047058105469,51.348891,77.267322,148.038970947266,148.047058105469,51.348891,77.267322,2
"3",148.060286399914,148.060045753934,148.06050590819,34.1758695,31.923024,36.4997796,4,2,2,459863347.47012,476981848.465121,253893361.944895,255539438.838011,468422597.96762,254716400.391453,2.58412130196805,0.456960027578925,1,1,0.180131868701393,0.296036997505773,7.53307478958828,3,1,1,1,148.034194946289,148.096755981445,18.222126,43.373643,148.034194946289,148.096755981445,18.222126,43.373643,2
"4",165.988056774882,165.988048289851,165.988065259913,35.6772333,35.4782508,35.8762158,2,2,0,3910775.37215693,4033602.06378715,NA,NA,3972188.71797204,NA,2.18649195013005,NA,1,0,0.788748801816168,NA,0.788748801816168,4,1,0,0,165.966506958008,166.049728393555,23.012628,46.87776,165.966506958008,166.049728393555,23.012628,46.87776,2
"9",241.154038021141,241.154004267721,241.154071774561,124.164978,123.788322,124.541634,2,2,0,204732436.087265,200582723.909497,NA,NA,202657579.998381,NA,1.44790519105932,NA,1,0,0.42900343730516,NA,0.42900343730516,9,1,0,0,241.153915405273,241.154159545898,110.02419,135.237432,241.153915405273,241.154159545898,110.02419,135.237432,2
"12",269.147303203765,269.147162433407,269.147443974124,62.410005,62.205906,62.614104,2,2,0,174373863.412913,175387910.068818,NA,NA,174880886.740865,NA,0.410015800006949,NA,1,0,0.462489265730375,NA,0.462489265730375,12,1,0,0,269.110137939453,269.160217285156,49.7567658,72.012534,269.110137939453,269.160217285156,49.7567658,72.012534,2
"14",293.100695390388,293.100606701927,293.100784078849,122.45715,122.075676,122.838624,2,2,0,6857401.65252041,6668215.43381693,NA,NA,6762808.54316867,NA,1.97809619033799,NA,1,0,0.440550596263844,NA,0.440550596263844,14,1,0,0,293.070983886719,293.186676025391,111.021174,134.901438,293.070983886719,293.186676025391,111.021174,134.901438,2
"15",297.095412509233,297.093032029648,297.097362978551,48.348387,45.5946402,50.8435338,4,2,2,101349356.660656,103229442.166738,84879299.3062617,83681694.0588935,102289399.413697,84280496.6825776,1.29966664989812,1.00478144402508,1,1,0.625254498312947,0.203840872667873,5.95785503783878,15,1,1,1,296.959533691406,297.127044677734,32.2393878,58.0581474,296.959533691406,297.127044677734,32.2393878,58.0581474,2
"16",297.161822550262,297.161614946497,297.162020700289,90.667017,87.42243,93.704046,4,2,2,5376876.42441584,5550734.4575499,3020662.13124729,3128834.47667852,5463805.44098287,3074748.3039629,2.25001046469792,2.48766375097085,1,1,0.328368580793233,0.150602188381832,3.81462557709845,16,1,1,1,297.154144287109,297.241760253906,75.877416,99.434682,297.154144287109,297.241760253906,75.877416,99.434682,2
"22",445.114462521678,445.113839160009,445.115085883348,68.107317,67.903296,68.311338,2,2,0,2591278.55205084,2311964.97095074,NA,NA,2451621.76150079,NA,8.0560766091615,NA,1,0,0.423639159370964,NA,0.423639159370964,22,1,0,0,445.052429199219,445.145446777344,57.7400178,78.447792,445.052429199219,445.145446777344,57.7400178,78.447792,2
"1",102.091560881174,102.091539877616,102.091581884732,257.559594,257.44761,257.671578,2,2,0,60814067.9870863,63036018.72619,NA,NA,61925043.3566382,NA,2.53719069041919,NA,1,0,0.0614884070553389,NA,0.0614884070553389,1,1,0,0,102.055236816406,102.091644287109,245.12349,270.88374,102.055236816406,102.091644287109,245.12349,270.88374,1
"272",103.054435681307,103.05443364651,103.054437716104,144.144549,143.761206,144.527892,2,2,0,25654942.5364508,25783060.4280321,NA,NA,25719001.4822415,NA,0.352241629563448,NA,1,0,0.37610084696356,NA,0.37610084696356,2,1,0,0,102.968406677246,103.058403015137,131.861808,156.397074,102.968406677246,103.058403015137,131.861808,156.397074,1
"319",103.094714179046,103.094683054288,103.094745303803,257.559594,257.44761,257.671578,2,2,0,3681365.34410801,3901881.9496749,NA,NA,3791623.64689146,NA,4.11245423285682,NA,1,0,0.0614884070553389,NA,0.0614884070553389,3,1,0,0,102.968421936035,103.094985961914,245.12349,270.88374,102.968421936035,103.094985961914,245.12349,270.88374,1
"453",104.107044269271,104.106902417213,104.107135381295,49.0432557,46.2351402,51.5947758,4,2,2,868459438.527533,874957885.889664,535229121.221987,515766711.944419,871708662.208599,525497916.583203,0.527136690979396,2.61884988391139,1,1,0.618717231001762,0.205515634464761,6.00089392094022,4,1,1,1,104.070755004883,104.107307434082,34.5091512,58.695012,104.070755004883,104.107307434082,34.5091512,58.695012,1
"5",105.051698129502,105.039053107253,105.064089188879,43.9490601,42.420639,45.5280288,4,2,2,84252530.2961683,83662415.5994383,74559989.8436087,72064600.8288636,83957472.9478033,73312295.3362361,0.497006507086117,2.40683569642992,1,1,0.134580121777528,0.204315619922487,3.94422009101408,5,1,1,1,104.963470458984,105.110542297363,29.695899,55.5151452,104.963470458984,105.110542297363,29.695899,55.5151452,1
"6",106.062931911485,106.059480422045,106.068238451015,40.9473096,38.6280042,43.3414116,4,2,2,6028772.25925283,6395606.63132557,5442479.22312575,5389481.46787405,6212189.4452892,5415980.3454999,4.17551773572592,0.691935157358547,1,1,0.153043946441248,0.259050950802686,6.47459418225836,6,1,1,1,106.049949645996,106.111457824707,25.9838958,52.6307682,106.049949645996,106.111457824707,25.9838958,52.6307682,1
"7",107.050950030548,107.048193902312,107.052539846258,70.544598,64.40892,144.527892,6,2,2,2192852.94914584,2198801.00735951,2056213.61540302,1899706.36368764,2195826.97825268,1977959.98954533,0.191541152351027,5.59502414496518,1,1,0.447505911661469,0.166242458243708,5.07424905854752,7,1,1,1,106.885467529297,107.04931640625,53.592393,76.521168,106.885467529297,107.04931640625,53.592393,76.521168,1
"8",108.006429726299,107.980919326657,108.033938672285,41.7846237,36.1143828,47.662548,4,2,2,1517591.13273534,1691293.95698852,2530753.96629178,2238982.07880418,1604442.54486193,2384868.02254798,7.6553969061724,8.65095587057508,1,1,0.771027395965914,0.901237263787195,15.2631790693488,8,1,1,1,107.966949462891,108.055793762207,23.4446472,47.1993852,107.966949462891,108.055793762207,23.4446472,47.1993852,1
"91",108.055140508271,108.054918736311,108.055362280231,144.459612,144.391332,144.527892,2,2,0,368296.890831636,357400.649803306,NA,NA,362848.770317471,NA,2.12342070605172,NA,1,0,0.0668439439245047,NA,0.0668439439245047,9,1,0,0,108.052467346191,108.088790893555,132.530934,157.08171,108.052467346191,108.088790893555,132.530934,157.08171,1
"10",110.071444659587,110.071271671438,110.071500069279,44.1895524,39.8866368,48.5632728,4,2,2,25995273.016379,26227866.7361384,24110791.5811385,22425554.5636639,26111569.8762587,23268173.0724012,0.629868664667423,5.12134115237575,1,1,0.146872680540083,0.224207249207119,11.1783712863729,10,1,1,1,110.023559570312,110.071510314941,28.4066382,51.9887664,110.023559570312,110.071510314941,28.4066382,51.9887664,1
"11",111.020205687498,111.013973139866,111.026665972223,88.223637,84.850038,91.376562,4,2,2,7819761.0437204,8522812.29111329,8285243.49651615,8051899.07476691,8171286.66741684,8168571.28564153,6.08389259595429,2.01993001225284,1,1,0.338926898671853,0.144857524328026,4.08431723376838,11,1,1,1,111.010864257812,111.044326782227,73.612908,97.102908,111.010864257812,111.044326782227,73.612908,97.102908,1
"125",112.043935634745,112.036344846661,112.05085569128,51.3780825,35.7968838,67.634034,8,2,2,39667912.4255099,38233988.1171308,4937838.68626784,5077137.70662181,38950950.2713204,5007488.19644482,2.6031139037695,1.967039722128,1,1,0.475617543092801,0.240435227555285,21.7515151741065,12,1,1,1,111.955810546875,112.039581298828,29.0840262,53.7376638,111.955810546875,112.039581298828,29.0840262,53.7376638,1
"13",112.923083776231,112.89596558352,112.950196506384,37.118376,32.8786392,41.0984136,4,2,2,20232090.0114807,20063745.1757037,12256681.5230398,12101006.5037874,20147917.5935922,12178844.0134136,0.590819246717221,0.903853121473809,1,1,0.862110159744886,0.247530952240256,12.3905604114929,13,1,1,1,112.862884521484,112.896141052246,19.9500762,41.783133,112.862884521484,112.896141052246,19.9500762,41.783133,1
"1410",113.035283604395,113.035156497997,113.03541992282,80.50932,77.16429,83.64567,4,2,2,77198465.9156761,77298864.2688328,92812020.095242,88462324.9597518,77248665.0922545,90637172.5274969,0.0919010784875433,3.39341888171345,1,1,0.377611020338914,0.173085948370593,4.43551034908465,14,1,1,1,112.999465942383,113.059860229492,65.356044,88.73718,112.999465942383,113.059860229492,65.356044,88.73718,1
"1510",114.037770729384,114.037673163351,114.037868295418,77.370879,77.16429,77.577468,2,2,0,3409948.3777201,3362319.66082021,NA,NA,3386134.01927015,NA,0.994602945644336,NA,1,0,0.377611020338914,NA,0.377611020338914,15,1,0,0,113.904205322266,114.038009643555,65.356044,88.73718,113.904205322266,114.038009643555,65.356044,88.73718,1
"1610",115.00045883478,114.989384152073,115.010938095335,41.8299366,38.6280042,44.7995376,4,2,2,7945876.29238584,7687277.89838284,17455112.4061758,16177902.4720357,7816577.09538434,16816507.4391057,2.33934464884187,5.37046000008985,1,1,0.72519596631554,0.262295199499868,8.15108431834794,16,1,1,1,114.860511779785,115.039093017578,26.7255078,50.0750052,114.860511779785,115.039093017578,26.7255078,50.0750052,1
"17",116.070469904199,116.070292057287,116.070637437099,44.6058816,41.149887,47.814411,4,2,2,230819936.763743,234755462.461089,130337063.119246,124086403.896805,232787699.612416,127211733.508026,1.19543984186501,3.47443070005425,1,1,0.682879670098807,0.224940882566938,8.29016150945118,17,1,1,1,116.010765075684,116.070785522461,29.695899,53.271639,116.010765075684,116.070785522461,29.695899,53.271639,1
"18",117.044115574418,117.044105933907,117.076111204016,44.7235998,44.3228928,47.814411,3,2,1,19151262.2181991,19094806.5973801,7429767.26708806,NA,19123034.4077896,7429767.26708806,0.20875427751668,NA,1,0.5,0.636392582561788,NA,4.18824136950481,18,1,0,0,116.985862731934,117.102333068848,33.202902,57.421269,116.985862731934,117.102333068848,33.202902,57.421269,1
"19",117.062249164214,117.062110164453,117.062388163975,254.355219,254.242116,254.468322,2,2,0,7102205.45748595,7586387.78477253,NA,NA,7344296.62112924,NA,4.66169361910091,NA,1,0,0.0628852032892855,NA,0.0628852032892855,19,1,0,0,117.057098388672,117.091133117676,241.659114,266.849136,117.057098388672,117.091133117676,241.659114,266.849136,1
"20",118.086338033612,118.086235873721,118.086391125135,45.6148734,42.420639,48.5632728,4,2,2,1237533066.86751,1243010539.79633,758956265.831811,737207549.097359,1240271803.33192,748081907.464585,0.31228302065138,2.05574615982339,1,1,0.662925391088927,0.224207249207119,7.44451459376045,20,1,1,1,118.086196899414,118.086410522461,30.656766,54.5542698,118.086196899414,118.086410522461,30.656766,54.5542698,1
